title,year,certificate,duration,genre,rating,description,stars,votes
3Below: Tales of Arcadia,(20182019),TV-Y7,23 min,"Animation, Action, Adventure",8.1,The last defenders of House Tarron face off against General Morando and his army of Omen robots in an all-out battle for survival.,"['Elaine Bogan, ', 'Francisco Ruiz-Velasco', '| ', '    Stars:', 'Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Glenn Close']",162
3Below: Tales of Arcadia,(20182019),TV-Y7,22 min,"Animation, Action, Adventure",8.4,"With General Morando searching for Gaylen's Core, Aja and Krel must travel into their parents' subconscious to learn the core's location first.","['Rodrigo Blaas', '| ', '    Stars:', 'Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Glenn Close']",168
3Below: Tales of Arcadia,(20182019),TV-Y7,22 min,"Animation, Action, Adventure",8.4,"After learning the location of Gaylen's Core, Toby calls Trollhunter Jim Lake, and Blinky advises the royals to consult the Soothscryer.","['Andrew L. Schmidt', '| ', '    Stars:', 'Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Alon Aboutboul']",162
3Below: Tales of Arcadia,(20182019),TV-Y7-FV,,"Animation, Action, Adventure",8.3,"As the town of Arcadia gathers for the premiere of ""Kleb or Alive", an army of Omens, led by an armored Kubritz
3Below: Tales of Arcadia,(20182019),TV-Y7,22 min,"Animation, Action, Adventure",8.4,"With the fate of the universe at stake, the royal heirs and their allies must gather their forces for the ultimate battle to defeat General Morando.","['Rodrigo Blaas, ', 'Johane Matte', '| ', '    Stars:', 'Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Alon Aboutboul']",177
The Umbrella Academy,(20192023),TV-14,49 min,"Action, Adventure, Comedy",8.1,"While Allison searches frantically for Ray, Vanya contends with a crisis at the farm. Meanwhile, Five, Diego and Lila crash a party at the Mexican Consulate.","['Tom Verica', '| ', '    Stars:', 'Elliot Page, ', 'Tom Hopper, ', 'David Castaeda, ', 'Emmy Raver-Lampman']","3,724"
The Umbrella Academy,(20192023),TV-14,48 min,"Action, Adventure, Comedy",8.1,"Summoned to an emergency meeting, the siblings hatch very different plans for how to spend their last six days on Earth. Lila confronts her mother.","['Tom Verica', '| ', '    Stars:', 'Elliot Page, ', 'Tom Hopper, ', 'David Castaeda, ', 'Emmy Raver-Lampman']","3,698"
Power Rangers Beast Morphers,(20192020),TV-Y7,,"Action, Adventure, Comedy",8.9,The Power Rangers' skills are put to the test when Blaze uses evil tech to massively enhance his Robotron's destructive power.,"['Riccardo Pellizzeri', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",36
DC's Legends of Tomorrow,(20162022),TV-14,42 min,"Action, Adventure, Drama",8.1,The Legends continue their hunt for pieces for the Loom of Fate and find themselves face to face with William Shakespeare; Ray and Nora make another big life decision that leaves the team surprised.,"['Alexandra La Roche', '| ', '    Stars:', 'Brandon Routh, ', 'Caity Lotz, ', 'Maisie Richardson-Sellers, ', 'Tala Ashe']","1,130"
DC's Legends of Tomorrow,(20162022),TV-14,42 min,"Action, Adventure, Drama",8.8,"Ray plans a date night for him and Nora, but all goes awry when an Encore shows up making the team think on their feet and create a lie to keep the Encore at bay. While trying to fool the ...                See full summary","['Ben Hernandez Bray', '| ', '    Stars:', 'Brandon Routh, ', 'Caity Lotz, ', 'Maisie Richardson-Sellers, ', 'Tala Ashe']","1,383"
