title,year,certificate,duration,genre,rating,description,stars,votes
Better Call Saul,(20152022),TV-MA,46 min,"Crime, Drama",8.9,The trials and tribulations of criminal lawyer Jimmy McGill before his fateful run-in with Walter White and Jesse Pinkman.,"['Bob Odenkirk, ', 'Rhea Seehorn, ', 'Jonathan Banks, ', 'Patrick Fabian']","501,384"
Breaking Bad,(20082013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"['Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']","1,831,340"
The Walking Dead,(20102022),TV-MA,44 min,"Drama, Horror, Thriller",8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"['Andrew Lincoln, ', 'Norman Reedus, ', 'Melissa McBride, ', 'Lauren Cohan']","970,060"
Peaky Blinders,(20132022),TV-MA,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy, ', 'Paul Anderson, ', 'Sophie Rundle, ', 'Helen McCrory']","531,058"
Supernatural,(20052020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']","439,597"
Friends,(19942004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","979,424"
Shameless,(20112021),TV-MA,46 min,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum, ', 'William H. Macy, ', 'Ethan Cutkosky, ', 'Jeremy Allen White']","239,541"
Modern Family,(20092020),TV-PG,22 min,"Comedy, Drama, Romance",8.5,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"[""Ed O'Neill"," """""
Ozark,(20172022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","['Jason Bateman, ', 'Laura Linney, ', 'Sofia Hublitz, ', 'Skylar Gaertner']","309,552"
Suits,(20112019),TV-14,44 min,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","['Gabriel Macht, ', 'Patrick J. Adams, ', 'Meghan Markle, ', 'Sarah Rafferty']","405,863"
Vikings,(20132020),TV-MA,44 min,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","['Katheryn Winnick, ', 'Gustaf Skarsgrd, ', 'Alexander Ludwig, ', 'Georgia Hirst']","524,630"
Seinfeld,(19891998),TV-PG,22 min,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld, ', 'Julia Louis-Dreyfus, ', 'Michael Richards, ', 'Jason Alexander']","314,089"
Lucifer,(20162021),TV-14,42 min,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","318,928"
The Umbrella Academy,(20192023),TV-14,60 min,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","['Elliot Page, ', 'Tom Hopper, ', 'David Castaeda, ', 'Emmy Raver-Lampman']","243,344"
The Last Kingdom,(20152022),TV-MA,60 min,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","['Alexander Dreymon, ', 'Eliza Butterworth, ', 'Arnas Fedaravicius, ', 'Mark Rowley']","136,936"
Black Mirror,(20112019),TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']","535,782"
Brooklyn Nine-Nine,(20132021),TV-14,22 min,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","['Andy Samberg, ', 'Stephanie Beatriz, ', 'Terry Crews, ', 'Melissa Fumero']","309,004"
Gilmore Girls,(20002007),TV-PG,44 min,"Comedy, Drama",8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","['Lauren Graham, ', 'Alexis Bledel, ', 'Keiko Agena, ', 'Scott Patterson']","124,087"
Never Have I Ever,(20202023),TV-14,30 min,"Comedy, Drama",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","['Maitreyi Ramakrishnan, ', 'Poorna Jagannathan, ', 'Darren Barnet, ', 'John McEnroe']","56,216"
Attack on Titan,(20132023),TV-MA,24 min,"Animation, Action, Adventure",9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","['Josh Grelle, ', 'Yki Kaji, ', 'Yui Ishikawa, ', 'Marina Inoue']","363,297"
Locke & Key,(20202022),TV-14,48 min,"Drama, Fantasy, Horror",7.3,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","['Darby Stanchfield, ', 'Connor Jessup, ', 'Emilia Jones, ', 'Jackson Robert Scott']","84,847"
Dark,(20172020),TV-MA,60 min,"Crime, Drama, Mystery",8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","['Louis Hofmann, ', 'Karoline Eichhorn, ', 'Lisa Vicari, ', 'Maja Schne']","371,981"
The Vampire Diaries,(20092017),TV-14,43 min,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","['Nina Dobrev, ', 'Paul Wesley, ', 'Ian Somerhalder, ', 'Kat Graham']","318,383"
Animal Kingdom,(20162022),TV-MA,60 min,"Crime, Drama",8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","['Shawn Hatosy, ', 'Ben Robson, ', 'Jake Weary, ', 'Finn Cole']","37,944"
How I Met Your Mother,(20052014),TV-14,22 min,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"['Josh Radnor, ', 'Jason Segel, ', 'Cobie Smulders, ', 'Neil Patrick Harris']","676,121"
Community,(20092015),TV-14,22 min,Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"['Joel McHale, ', 'Danny Pudi, ', 'Donald Glover, ', 'Chevy Chase']","261,138"
Daredevil,(20152018),TV-MA,54 min,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","['Charlie Cox, ', ""Vincent D'Onofrio"," """""
Schitt's Creek,(20152020),TV-14,22 min,Comedy,8.5,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","['Eugene Levy, ', ""Catherine O'Hara"," """""
Sons of Anarchy,(20082014),TV-MA,45 min,"Crime, Drama, Thriller",8.6,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"['Charlie Hunnam, ', 'Katey Sagal, ', 'Mark Boone Junior, ', 'Kim Coates']","294,616"
Mad Men,(20072015),TV-14,47 min,Drama,8.7,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","['Jon Hamm, ', 'Elisabeth Moss, ', 'Vincent Kartheiser, ', 'January Jones']","237,030"
The Flash,(20142023),TV-PG,43 min,"Action, Adventure, Drama",7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","['Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes']","344,187"
Mr. Robot,(20152019),TV-MA,49 min,"Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","['Rami Malek, ', 'Christian Slater, ', 'Carly Chaikin, ', 'Martin Wallstrm']","383,470"
That '70s Show,(19982006),TV-14,22 min,"Comedy, Drama, Romance",8.1,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","['Topher Grace, ', 'Laura Prepon, ', 'Mila Kunis, ', 'Danny Masterson']","169,768"
Sherlock,(20102017),TV-14,88 min,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"['Benedict Cumberbatch, ', 'Martin Freeman, ', 'Una Stubbs, ', 'Rupert Graves']","913,816"
Dexter,(20062013),TV-MA,53 min,"Crime, Drama, Mystery",8.7,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","['Michael C. Hall, ', 'Jennifer Carpenter, ', 'David Zayas, ', 'James Remar']","720,792"
New Girl,(20112018),TV-14,22 min,"Comedy, Romance",7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","['Zooey Deschanel, ', 'Jake Johnson, ', 'Max Greenfield, ', 'Hannah Simone']","221,781"
The Expanse,(20152022),TV-14,60 min,"Drama, Mystery, Sci-Fi",8.5,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","['Steven Strait, ', 'Dominique Tipper, ', 'Wes Chatham, ', 'Shohreh Aghdashloo']","151,611"
Downton Abbey,(20102015),TV-PG,58 min,"Drama, Romance",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"['Hugh Bonneville, ', 'Phyllis Logan, ', 'Elizabeth McGovern, ', 'Brendan Coyle']","204,875"
Smallville,(20012017),TV-PG,60 min,"Action, Adventure, Drama",7.5,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.","['Tom Welling, ', 'Michael Rosenbaum, ', 'Allison Mack, ', 'Kristin Kreuk']","127,295"
Star Trek: The Next Generation,(19871994),TV-PG,44 min,"Action, Adventure, Sci-Fi",8.7,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","['Patrick Stewart, ', 'Brent Spiner, ', 'Jonathan Frakes, ', 'LeVar Burton']","119,655"
BoJack Horseman,(20142020),TV-MA,25 min,"Animation, Comedy, Drama",8.8,"BoJack Horseman was the star of the hit television show ""Horsin' Around"""" in the '80s and '90s", but now he's washed up, living in Hollywood
Money Heist,(20172021),TV-MA,70 min,"Action, Crime, Drama",8.2,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"['rsula Corber, ', 'lvaro Morte, ', 'Itziar Ituo, ', 'Pedro Alonso']","469,640"
Orange Is the New Black,(20132019),TV-MA,59 min,"Comedy, Crime, Drama",8.1,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","['Taylor Schilling, ', 'Danielle Brooks, ', 'Taryn Manning, ', 'Emma Myles']","300,354"
Prison Break,(20052017),TV-14,44 min,"Action, Crime, Drama",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","['Dominic Purcell, ', 'Wentworth Miller, ', 'Amaury Nolasco, ', 'Robert Knepper']","529,304"
Once Upon a Time,(20112018),TV-PG,60 min,"Adventure, Fantasy, Romance",7.7,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"['Ginnifer Goodwin, ', 'Jennifer Morrison, ', 'Lana Parrilla, ', 'Robert Carlyle']","223,549"
The 100,(20142020),TV-14,43 min,"Drama, Mystery, Sci-Fi",7.6,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet.","['Eliza Taylor, ', 'Bob Morley, ', 'Marie Avgeropoulos, ', 'Isaiah Washington']","248,827"
Spartacus,(20102013),TV-MA,55 min,"Action, Adventure, Biography",8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","['Andy Whitfield, ', 'Lucy Lawless, ', 'Manu Bennett, ', 'Daniel Feuerriegel']","241,105"
Chesapeake Shores,(20162022),TV-PG,42 min,"Drama, Family",7.5,"A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past.","['Meghan Ory, ', 'Barbara Niven, ', 'Laci J Mailey, ', 'Emilie Ullerup']","7,676"
Pretty Little Liars,(20102017),TV-14,44 min,"Drama, Mystery, Romance",7.4,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.","['Troian Bellisario, ', 'Ashley Benson, ', 'Lucy Hale, ', 'Shay Mitchell']","166,548"
Mindhunter,(20172019),TV-MA,60 min,"Crime, Drama, Mystery",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","['Jonathan Groff, ', 'Holt McCallany, ', 'Anna Torv, ', 'Hannah Gross']","281,506"
"Murder, She Wrote",(19841996),TV-PG,50 min,"Crime, Drama, Mystery",7.1,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","['Angela Lansbury, ', 'William Windom, ', 'Ron Masak, ', 'Louis Herthum']","24,323"
CSI: Crime Scene Investigation,(20002015),TV-14,60 min,"Crime, Drama, Mystery",7.7,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,"['Laurence Fishburne, ', 'Marg Helgenberger, ', 'George Eads, ', 'Eric Szmanda']","83,833"
Arrested Development,(20032019),TV-14,22 min,Comedy,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","['Jason Bateman, ', 'Michael Cera, ', 'Portia de Rossi, ', 'Will Arnett']","302,834"
Narcos,(20152017),TV-MA,49 min,"Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","['Pedro Pascal, ', 'Wagner Moura, ', 'Boyd Holbrook, ', 'Alberto Ammann']","416,307"
The Sinner,(20172021),TV-MA,45 min,"Crime, Drama, Mystery",7.9,Anthology series that examines how and why ordinary people commit brutal crimes.,"['Bill Pullman, ', 'Jessica Hecht, ', 'Dohn Norwood, ', 'Adam LeFevre']","120,241"
Homeland,(20112020),TV-MA,55 min,"Crime, Drama, Mystery",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"['Claire Danes, ', 'Mandy Patinkin, ', 'Damian Lewis, ', 'Rupert Friend']","339,482"
Doc Martin,(20042022),TV-14,46 min,"Comedy, Drama, Romance",8.4,"The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall.","['Martin Clunes, ', 'Caroline Catz, ', 'Ian McNeice, ', 'Joe Absolom']","16,147"
Hawaii Five-0,(20102020),TV-14,42 min,"Action, Crime, Drama",7.4,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0.","[""Alex O'Loughlin"," """""
Star Trek: The Original Series,(19661969),TV-PG,50 min,"Action, Adventure, Sci-Fi",8.4,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","['William Shatner, ', 'Leonard Nimoy, ', 'DeForest Kelley, ', 'Nichelle Nichols']","83,805"
The Good Wife,(20092016),TV-14,43 min,"Crime, Drama, Mystery",8.4,"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","['Julianna Margulies, ', 'Chris Noth, ', 'Josh Charles, ', 'Matt Czuchry']","75,557"
The Punisher,(20172019),TV-MA,53 min,"Action, Crime, Drama",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher"," with only one goal in mind: to avenge them.""","['Jon Bernthal, ', 'Amber Rose Revah, ', 'Ben Barnes, ', 'Jason R. Moore']"
"Roswell, New Mexico",(20192022),TV-14,45 min,"Drama, Romance, Sci-Fi",6.2,"Centers on a town where aliens with unearthly abilities live undercover among humans. But when a violent attack points to a greater alien presence, the politics of fear and hatred threaten to expose them.","['Jeanine Mason, ', 'Nathan Parsons, ', 'Michael Vlamis, ', 'Lily Cowles']","12,827"
Teen Wolf,(20112017),TV-14,41 min,"Action, Drama, Fantasy",7.7,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"['Tyler Posey, ', 'Holland Roden, ', ""Dylan O'Brien"," """""
Arrow,(20122020),TV-14,42 min,"Action, Adventure, Crime",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","['Stephen Amell, ', 'Katie Cassidy, ', 'David Ramsey, ', 'Susanna Thompson']","429,943"
The Good Place,(20162020),TV-PG,22 min,"Comedy, Drama, Fantasy",8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,"['Kristen Bell, ', 'William Jackson Harper, ', 'Jameela Jamil, ', ""D'Arcy Carden""""]""","156,760"
Agents of S.H.I.E.L.D.,(20132020),TV-PG,45 min,"Action, Adventure, Drama",7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","['Clark Gregg, ', 'Ming-Na Wen, ', 'Brett Dalton, ', 'Iain De Caestecker']","216,461"
Cheers,(19821993),TV-PG,22 min,"Comedy, Drama",7.9,"The regulars of the Boston bar ""Cheers"""" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name.""","['Ted Danson, ', 'Rhea Perlman, ', 'John Ratzenberger, ', 'George Wendt']","54,765"
Line of Duty,(20122021),TV-14,60 min,"Crime, Drama, Mystery",8.7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","['Martin Compston, ', 'Vicky McClure, ', 'Adrian Dunbar, ', 'Craig Parkinson']","58,387"
Star Wars: The Clone Wars,(20082020),TV-PG,23 min,"Animation, Action, Adventure",8.4,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"['Tom Kane, ', 'Dee Bradley Baker, ', 'Matt Lanter, ', 'James Arnold Taylor']","94,334"
Star Trek: Deep Space Nine,(19931999),TV-PG,45 min,"Action, Adventure, Drama",8.1,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.","['Avery Brooks, ', 'Rene Auberjonois, ', 'Cirroc Lofton, ', 'Alexander Siddig']","62,898"
House of Cards,(20132018),TV-MA,51 min,Drama,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"['Kevin Spacey, ', 'Michel Gill, ', 'Robin Wright, ', 'Kate Mara']","500,982"
Dynasty,(20172022),TV-14,42 min,Drama,7.2,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,"['Elizabeth Gillies, ', 'Rafael de la Fuente, ', 'Robert Christopher Riley, ', 'Sam Adegoke']","22,045"
Glee,(20092015),TV-PG,44 min,"Comedy, Drama, Music",6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,"['Lea Michele, ', 'Jane Lynch, ', 'Matthew Morrison, ', 'Cory Monteith']","147,910"
The Americans,(20132018),TV-MA,44 min,"Crime, Drama, Mystery",8.4,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family.","['Keri Russell, ', 'Matthew Rhys, ', 'Keidrich Sellati, ', 'Holly Taylor']","98,875"
Gotham,(20142019),TV-14,42 min,"Action, Crime, Drama",7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"['Ben McKenzie, ', 'Jada Pinkett Smith, ', 'Donal Logue, ', 'Camren Bicondova']","229,301"
Gossip Girl,(20072012),TV-14,42 min,"Drama, Romance",7.5,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,"['Blake Lively, ', 'Leighton Meester, ', 'Penn Badgley, ', 'Ed Westwick']","173,318"
The Tudors,(20072010),TV-MA,60 min,"Drama, History, Romance",8.1,A dramatic series about the reign and marriages of King Henry VIII.,"['Jonathan Rhys Meyers, ', 'Henry Cavill, ', 'Anthony Brophy, ', 'James Frain']","74,863"
Twin Peaks,(19901991),TV-MA,47 min,"Crime, Drama, Mystery",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"['Kyle MacLachlan, ', 'Michael Ontkean, ', 'Mdchen Amick, ', 'Dana Ashbrook']","196,192"
Avatar: The Last Airbender,(20052008),TV-Y7-FV,23 min,"Animation, Action, Adventure",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","['Dee Bradley Baker, ', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena']","309,241"
Hannibal,(20132015),TV-14,44 min,"Crime, Drama, Horror",8.5,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"['Hugh Dancy, ', 'Mads Mikkelsen, ', 'Caroline Dhavernas, ', 'Laurence Fishburne']","253,302"
Star Trek: Voyager,(19952001),TV-PG,44 min,"Action, Adventure, Sci-Fi",7.8,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","['Kate Mulgrew, ', 'Robert Beltran, ', 'Roxann Dawson, ', 'Robert Duncan McNeill']","69,047"
Good Girls,(20182021),TV-14,43 min,"Comedy, Crime, Drama",7.7,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take back their power.,"['Christina Hendricks, ', 'Retta, ', 'Mae Whitman, ', 'Reno Wilson']","51,835"
How to Get Away with Murder,(20142020),TV-14,43 min,"Crime, Drama, Mystery",8.1,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"['Viola Davis, ', 'Billy Brown, ', 'Jack Falahee, ', 'Aja Naomi King']","150,319"
Longmire,(20122017),TV-14,60 min,"Action, Crime, Drama",8.3,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.","['Robert Taylor, ', 'Katee Sackhoff, ', 'Lou Diamond Phillips, ', 'Cassidy Freeman']","35,601"
White Collar,(20092014),TV-PG,40 min,"Comedy, Crime, Drama",8.3,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.","['Matt Bomer, ', 'Tim DeKay, ', 'Willie Garson, ', 'Tiffani Thiessen']","131,006"
After Life,(20192022),TV-MA,30 min,"Comedy, Drama",8.4,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm.","['Ricky Gervais, ', 'Tom Basden, ', 'Tony Way, ', 'Diane Morgan']","133,432"
Derry Girls,(20182022),TV-MA,30 min,Comedy,8.5,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,"['Saoirse-Monica Jackson, ', 'Louisa Harland, ', ""Tara Lynne O'Neill"," """""
Grimm,(20112017),TV-14,45 min,"Crime, Drama, Fantasy",7.8,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,"['David Giuntoli, ', 'Russell Hornsby, ', 'Silas Weir Mitchell, ', 'Sasha Roiz']","119,368"
Black Sails,(20142017),TV-MA,56 min,"Action, Adventure, Drama",8.2,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""""""","['Jessica Parker Kennedy, ', 'Toby Stephens, ', 'Hannah New, ', 'Zach McGowan']","104,342"
Elementary,(20122019),TV-14,60 min,"Crime, Drama, Mystery",7.9,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.","['Jonny Lee Miller, ', 'Lucy Liu, ', 'Aidan Quinn, ', 'Jon Michael Hill']","110,920"
13 Reasons Why,(20172020),TV-MA,60 min,"Drama, Mystery, Thriller",7.5,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","['Dylan Minnette, ', 'Katherine Langford, ', 'Christian Navarro, ', 'Alisha Boe']","289,319"
The Fall,(I) (20132016),TV-MA,60 min,"Crime, Drama, Thriller",8.1,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.,"['Gillian Anderson, ', 'Jamie Dornan, ', 'John Lynch, ', 'Aisling Franciosi']","104,577"
Naruto,(20022007),TV-PG,24 min,"Animation, Action, Adventure",8.4,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","['Junko Takeuchi, ', 'Maile Flanagan, ', 'Kate Higgins, ', 'Chie Nakamura']","99,442"
Broadchurch,(20132017),TV-MA,48 min,"Crime, Drama, Mystery",8.4,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.","['David Tennant, ', 'Olivia Colman, ', 'Jodie Whittaker, ', 'Andrew Buchan']","112,247"
Scorpion,(20142018),TV-14,43 min,"Action, Crime, Drama",7.0,An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world.,"['Elyes Gabel, ', 'Katharine McPhee, ', 'Eddie Kaye Thomas, ', 'Jadyn Wong']","53,803"
Adventure Time,(20102018),TV-PG,11 min,"Animation, Action, Adventure",8.6,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","['John DiMaggio, ', 'Jeremy Shada, ', 'Tom Kenny, ', 'Hynden Walch']","93,949"
Dead to Me,(20192022),TV-MA,30 min,"Comedy, Crime, Drama",8.0,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,"['Christina Applegate, ', 'Linda Cardellini, ', 'Luke Roessler, ', 'Sam McCarthy']","76,565"
Designated Survivor,(20162019),TV-14,60 min,"Action, Drama, Mystery",7.5,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,"['Kiefer Sutherland, ', 'Adan Canto, ', 'Italia Ricci, ', 'Kal Penn']","90,424"
